index,naics3,emp_total,dem_share_2016,dem_share_2020,dem_share_avg_2016_2020
0,113,175810.0,0.37448405296915727,0.2752998395712118,0.37794667258382
1,114,18401.0,0.5303433172524651,0.5016604716893504,0.5360206485960334
2,115,342860.0,0.4719281654460767,0.42083214100717636,0.47680050143141733
3,211,331170.0,0.39671877285009516,0.3592655958178284,0.3980050535504876
4,212,436161.0,0.34572681037660186,0.2838005808961262,0.3503220432995317
5,213,946383.0,0.33366475210842145,0.30720273045657875,0.33487456717685615
6,221,2127852.0,0.5408111554101656,0.44993165251412914,0.5440882117461058
7,236,5889534.0,0.5430615429811178,0.4605506662871514,0.5473993472679988
8,237,3747428.0,0.5004039098124039,0.4244385293161665,0.5062374392172382
9,238,18245496.0,0.5254176092385016,0.43821741266811454,0.5301759232083868
10,311,4221018.0,0.49868889621613954,0.4288698976530352,0.5021685676494811
11,312,886630.0,0.5810541202339652,0.5030493704010846,0.5860761247747622
12,313,146405.0,0.4399218706463486,0.20770953444101867,0.4393182838166458
13,314,294421.0,0.45424836941904906,0.3126587650543261,0.4560377545307784
14,315,207357.0,0.6766850957843813,0.6123747931432914,0.6654534055934824
15,316,38568.0,0.5759417415244121,0.5649547953738088,0.5733617684630457
16,321,1094280.0,0.4174025664143634,0.34652497057124354,0.4224203251330003
17,322,729266.0,0.5113751578969749,0.4385135281029539,0.5159129537331816
18,323,1560980.0,0.5336154434025998,0.4577319448843469,0.5390494485762766
19,324,251044.0,0.5401452963083415,0.5038095947632121,0.541594869441496
20,325,2310415.0,0.5440157917821655,0.47373344438280235,0.5486899845346436
21,326,2257984.0,0.47702396943075875,0.4108391022043685,0.4825088371443883
22,327,1028931.0,0.4912931740558549,0.4197907145480823,0.49650232836037533
23,331,737833.0,0.5023063167783349,0.46220199616373114,0.5048803354097867
24,332,4618702.0,0.49356514086815106,0.44543647303487405,0.498529565886642
25,333,2836086.0,0.49158118200975137,0.43718035707785513,0.4979457043639007
26,334,2604787.0,0.595697387622444,0.5489075861140364,0.6012632400110499
27,335,728490.0,0.5405449330958734,0.47757749391797205,0.5448066506961518
28,336,4300208.0,0.4932754655050944,0.42739831730728917,0.4991828402386873
29,337,1103489.0,0.45503712098898574,0.38174656580040295,0.45968253625412314
30,339,1850266.0,0.5509113740553817,0.4915351836425443,0.5561162219852294
31,423,13104781.0,0.5569410508321951,0.47747756026517113,0.560861028692483
32,424,8193686.0,0.5713472422553384,0.498190941220236,0.5735344633076256
33,425,941268.0,0.5556432696069359,0.4742063271902156,0.5608737629130077
34,441,7987083.0,0.5007617905050895,0.4098442912230268,0.5057044323193537
35,442,1788664.0,0.5428697332768285,0.45111908596051337,0.5476130010886705
36,443,1047696.0,0.5624344776493615,0.47619958508265114,0.5653015190095959
37,444,5002278.0,0.49834355017239146,0.4196682756031177,0.5036261372303039
38,445,12518363.0,0.536158849362105,0.45078020945268205,0.539813469987525
39,446,4004690.0,0.5406857700204875,0.4569819474943868,0.5434435049726694
40,447,3925390.0,0.4516794908954959,0.36626717168781237,0.4561246468759872
41,448,6360784.0,0.570269300069841,0.4835815897281901,0.572437150215909
42,451,1777480.0,0.5336530590318174,0.4568110384953549,0.5399835265551107
43,452,10579896.0,0.4996418637100751,0.4122802218480295,0.5040305455901064
44,453,2944954.0,0.5392098638315467,0.45573518696700605,0.5437785427936472
45,454,3362752.0,0.5635881508159604,0.4829184748418903,0.5671325415095408
46,481,2024954.0,0.6690482921326176,0.5321865020359924,0.6665009113569349
47,483,215706.0,0.5738114740083197,0.5244149876167594,0.5620200777314099
48,484,6335666.0,0.49292406996304566,0.4005355533772366,0.4966334593586129
49,485,1698407.0,0.6034728761505423,0.5495962717120458,0.6056593473304193
50,486,123750.0,0.4321219786663085,0.37368694652076845,0.43404198237105446
51,487,92376.0,0.6361608508916524,0.5754089255024406,0.6299426483875384
52,488,2907405.0,0.5862901095948871,0.4797776505199073,0.5854483238075623
53,492,3656703.0,0.591626261524077,0.48685209570655424,0.5946658759037913
54,493,4259508.0,0.5108668754355004,0.42602163811296834,0.5156899031800919
55,511,3826251.0,0.6664244553043881,0.5852239386811519,0.6680392298785919
56,512,1172077.0,0.6661364896116629,0.5872227113302916,0.662100687978078
57,515,996437.0,0.686766573891699,0.5998697764213069,0.6837356806138181
58,517,3954517.0,0.5627570980027703,0.4561567899791319,0.5671464661852649
59,518,2125508.0,0.6395442352461449,0.5276236728448335,0.6419497608182039
60,519,1418324.0,0.7483823441553594,0.695777598875106,0.7430699086955798
61,521,22416.0,0.7822377523775059,0.5175082759636433,0.7819378364297683
62,522,11360013.0,0.5547254343354729,0.45323679479224777,0.5588739130764264
63,523,3652001.0,0.6701329401949349,0.5960142061229666,0.6708635161292107
64,524,9912250.0,0.5768018529881812,0.49271618902631065,0.5819327969833172
65,525,25434.0,0.7251506491387867,0.6803490133751887,0.7216493127001621
66,531,6774494.0,0.5947519783285075,0.5027976329239723,0.5968433990653363
67,532,1932699.0,0.5560356146864808,0.4699356967821883,0.5585621363321541
68,533,136084.0,0.6400713037879039,0.4644868058604854,0.643277570910059
69,541,36218197.0,0.6076229933544215,0.4960544688655346,0.6106630726173262
70,551,14052347.0,0.5929759971479797,0.5042639931200635,0.5972425125853388
71,561,27933883.0,0.569102356730554,0.4671794009269921,0.5725982940576478
72,562,1591501.0,0.5321433748207361,0.45617144593252273,0.536335544399452
73,611,14068198.0,0.6315019216061318,0.5491281086740326,0.6332271508310447
74,621,31131242.0,0.5510619940803999,0.46904364140356414,0.5542330352861059
75,622,19066813.0,0.6014739451779555,0.5240688398133001,0.604125830682505
76,623,13288665.0,0.5207695698637889,0.44872418263893327,0.5255824936657171
77,624,13511846.0,0.570389254843857,0.49427408422677077,0.5722636725305162
78,711,2010007.0,0.6565412094440425,0.5818133008467742,0.6553484166043217
79,712,547610.0,0.6425726279163926,0.5719239281685145,0.6434521100749697
80,713,6735532.0,0.5543221509680695,0.47583338428917304,0.5586525182566395
81,721,8235529.0,0.5555495886700241,0.4798485965722489,0.5575044951000858
82,722,48701352.0,0.5379242326138727,0.4488860623323564,0.5414436900331407
83,811,5063441.0,0.5153509946907016,0.43330768860109503,0.5200724296224326
84,812,5914358.0,0.5754075462388222,0.4927023686672019,0.578674170823765
85,813,10870673.0,0.5559212291196178,0.4596133627335977,0.5594522110338901
